date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2022-08-01,,,,,,,,,,,
2022-08-02,,,,,,,,,,,
2022-08-03,,,,,,,,,,,
2022-08-04,27.152631578947368,18.98421052631579,328.1578947368421,13.226315789473684,5.373684210526315,75.52631578947368,0.49105263157894735,0.42105263157894735,2.094736842105263,,
2022-08-05,15.529166666666667,10.879166666666668,237.875,13.645833333333334,6.395833333333333,52.833333333333336,0.22166666666666668,0.0,1.0666666666666667,55.31578947368421,29.157894736842106
2022-08-06,10.029166666666667,7.008333333333333,180.58333333333334,10.704166666666666,4.6499999999999995,42.416666666666664,0.12291666666666667,0.0,1.3583333333333334,36.041666666666664,19.75
2022-08-07,8.245833333333334,5.758333333333333,170.16666666666666,8.783333333333333,2.9583333333333335,42.25,0.10333333333333333,0.0,1.03125,27.833333333333332,17.25
2022-08-08,6.7250000000000005,4.716666666666667,160.83333333333334,7.508333333333333,2.841666666666667,42.083333333333336,0.06125,0.0,1.1375,21.916666666666668,16.791666666666668
2022-08-09,7.120833333333334,4.866666666666666,148.16666666666666,6.470833333333334,3.0375,46.958333333333336,0.12916666666666668,0.5,1.5916666666666668,22.208333333333332,18.75
2022-08-10,11.904166666666667,7.625,147.33333333333334,6.283333333333334,3.841666666666667,52.666666666666664,0.21666666666666667,2.875,1.6708333333333334,24.791666666666668,20.916666666666668
2022-08-11,10.012500000000001,6.625,149.08333333333334,6.425,5.2625,48.333333333333336,0.2125,1.4583333333333333,2.0541666666666667,33.5,19.791666666666668
2022-08-12,8.520833333333334,5.720833333333334,146.25,6.229166666666667,3.9416666666666664,42.5,0.13416666666666668,0.75,2.24375,24.916666666666668,17.166666666666668
2022-08-13,9.879166666666666,6.5375000000000005,148.0,6.166666666666667,3.329166666666667,42.375,0.18208333333333335,1.4166666666666667,2.1041666666666665,27.708333333333332,17.625
